Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,48.48,49.60,48.41,49.18,24212400,22.04
2009-06-30,48.21,48.25,47.81,47.99,31447400,21.50
2009-06-29,48.14,48.50,48.12,48.29,17526600,21.64
2009-06-26,47.72,48.29,47.63,48.13,26200600,21.57
2009-06-25,47.42,48.03,47.18,47.85,20630200,21.44
2009-06-24,48.12,48.49,47.36,47.50,17777000,21.28
2009-06-23,48.19,48.53,47.75,47.80,18727000,21.42
2009-06-22,48.52,48.81,47.99,47.99,21359600,21.50
2009-06-19,49.73,49.89,48.71,48.81,30718400,21.87
2009-06-18,47.99,49.64,47.96,49.55,24154600,22.20
2009-06-17,47.88,48.64,47.84,47.93,16653800,21.48
2009-06-16,48.19,48.33,47.82,47.83,15866200,21.43
2009-06-15,48.61,48.66,48.10,48.11,17630000,21.56
2009-06-12,48.68,49.04,48.48,48.89,17240800,21.91
2009-06-11,48.12,49.21,48.08,48.58,20569000,21.77
2009-06-10,49.30,49.36,48.05,48.41,28236200,21.51
2009-06-09,49.51,49.60,48.86,49.09,20304400,21.81
2009-06-08,49.23,49.63,48.81,49.38,15849400,21.94
2009-06-05,49.91,49.94,49.23,49.44,19833400,21.97
2009-06-04,49.14,49.79,48.71,49.76,21710200,22.11
2009-06-03,49.34,49.50,48.77,49.09,26862800,21.81
2009-06-02,49.01,49.93,48.88,49.66,33442000,22.06
2009-06-01,49.25,49.45,48.72,49.02,42668400,21.78
2009-05-29,47.01,49.16,46.95,49.16,45436800,21.84
2009-05-28,46.65,47.20,46.36,46.90,18940200,20.84
2009-05-27,47.13,47.19,46.54,46.63,19064800,20.72
2009-05-26,47.00,47.48,46.88,47.21,28784800,20.97
2009-05-22,46.67,47.71,46.64,47.30,24576400,21.01
2009-05-21,46.64,46.82,46.40,46.68,28366400,20.74
2009-05-20,46.81,47.29,46.54,47.00,33379200,20.88
2009-05-19,46.14,46.93,45.82,46.64,31889400,20.72
2009-05-18,45.14,46.12,44.68,46.07,28462000,20.47
2009-05-15,44.83,45.08,44.63,44.96,34102200,19.98
2009-05-14,43.92,45.17,43.91,44.90,34590000,19.95
2009-05-13,44.03,44.39,43.44,43.63,23717800,19.38
2009-05-12,42.96,44.69,42.86,44.40,37052200,19.73
2009-05-11,42.73,43.19,42.54,42.75,18437800,18.99
2009-05-08,42.95,43.17,42.51,42.92,24158600,19.07
2009-05-07,43.32,43.32,42.57,42.80,27057600,19.02
2009-05-06,43.50,43.59,42.75,42.94,19488600,19.08
2009-05-05,43.32,43.75,43.02,43.14,22393600,19.17
2009-05-04,42.60,43.24,42.23,43.17,26789000,19.18
2009-05-01,43.14,43.21,42.18,42.47,21220200,18.87
2009-04-30,43.13,44.07,42.80,43.05,35959200,19.13
2009-04-29,42.37,43.09,42.36,42.71,20426400,18.98
2009-04-28,42.11,42.55,42.00,42.28,18167600,18.78
2009-04-27,42.42,42.97,42.08,42.24,23763600,18.77
2009-04-24,42.95,43.09,42.57,42.79,29316200,19.01
2009-04-23,43.07,43.15,42.69,42.92,28034600,19.07
2009-04-22,43.20,43.22,42.60,42.93,28969200,19.07
2009-04-21,44.16,44.95,42.62,43.09,37523000,19.14
2009-04-20,44.85,45.00,43.81,44.33,27665400,19.70
