Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,55.12,56.69,55.12,56.52,9715200,50.43
2009-06-30,54.94,55.45,54.72,54.96,8815400,49.03
2009-06-29,55.33,55.50,54.61,54.84,6368100,48.93
2009-06-26,53.72,54.90,53.50,54.70,8836600,48.80
2009-06-25,52.89,54.38,52.56,53.99,8050400,48.17
2009-06-24,53.33,53.83,52.70,53.05,4730800,47.33
2009-06-23,53.75,53.84,52.80,53.01,6528600,47.29
2009-06-22,53.64,53.89,53.18,53.49,5314100,47.72
2009-06-19,54.74,55.05,53.69,53.91,9530500,48.10
2009-06-18,53.13,54.73,52.88,54.49,7047100,48.61
2009-06-17,52.31,53.83,52.11,52.97,9395200,47.26
2009-06-16,53.06,53.30,52.20,52.34,6477900,46.70
2009-06-15,53.45,53.54,52.78,52.88,6089700,47.18
2009-06-12,52.85,53.85,52.60,53.65,5958400,47.86
2009-06-11,53.19,53.98,52.93,52.97,8817200,47.26
2009-06-10,53.73,54.11,52.99,53.36,6291700,47.61
2009-06-09,54.21,54.34,53.21,53.48,8065100,47.71
2009-06-08,54.68,54.99,53.55,54.15,6846900,48.31
2009-06-05,55.37,55.49,54.50,54.88,10394100,48.96
2009-06-04,54.27,54.90,53.80,54.82,12602700,48.91
2009-06-03,54.90,54.90,53.89,54.27,11515700,48.42
2009-06-02,53.47,55.73,53.15,55.37,13707800,49.00
2009-06-01,52.27,53.39,52.25,53.13,8262500,47.02
2009-05-29,51.06,52.14,50.85,52.05,9341500,46.06
2009-05-28,50.25,51.30,50.16,51.02,7960400,45.15
2009-05-27,51.38,51.50,49.82,50.01,8811400,44.25
2009-05-26,51.01,51.69,50.91,51.28,8835100,45.38
2009-05-22,51.58,51.95,51.20,51.57,4565800,45.64
2009-05-21,51.64,51.87,50.99,51.49,6096200,45.56
2009-05-20,51.87,52.50,51.54,52.06,8536000,46.07
2009-05-19,51.29,52.10,51.10,51.61,7584800,45.67
2009-05-18,50.62,51.23,50.35,51.17,6461700,45.28
2009-05-15,50.53,50.82,50.03,50.32,8205900,44.53
2009-05-14,49.70,51.16,49.51,50.87,10200100,45.02
2009-05-13,49.20,49.88,49.14,49.66,11299700,43.95
2009-05-12,49.72,49.80,48.82,49.27,15410500,43.60
2009-05-11,49.55,50.04,49.28,49.58,8192800,43.87
2009-05-08,49.88,49.94,49.09,49.75,10686200,44.02
2009-05-07,49.86,50.06,49.24,49.49,13254900,43.79
2009-05-06,50.30,50.30,49.19,49.72,7561900,44.00
2009-05-05,49.13,49.95,49.12,49.73,11609800,44.01
2009-05-04,50.17,50.17,48.87,49.10,13087000,43.45
2009-05-01,49.76,49.89,48.83,49.79,7617400,44.06
2009-04-30,50.91,51.00,49.52,49.76,10978300,44.03
2009-04-29,50.16,51.22,50.16,50.45,15118800,44.64
2009-04-28,48.71,50.27,48.71,50.04,11569100,44.28
2009-04-27,48.28,49.50,48.17,49.11,9540400,43.46
2009-04-24,48.31,48.92,47.93,48.52,11306900,42.94
2009-04-23,48.40,48.46,47.50,47.89,12256700,42.38
2009-04-22,49.86,50.20,47.88,47.98,20499500,42.46
2009-04-21,50.17,50.55,48.50,49.35,13960700,43.67
2009-04-20,51.32,51.59,49.52,49.86,18459600,44.12
2009-04-17,52.00,52.47,51.70,52.13,8820400,46.13
2009-04-16,52.24,52.24,51.16,51.96,6115800,45.98
2009-04-15,50.24,52.10,50.24,52.04,6727800,46.05
2009-04-14,51.14,51.34,50.28,50.56,7731600,44.74
2009-04-13,52.02,56.95,51.29,51.49,5863200,45.56
2009-04-09,52.35,53.09,51.86,52.10,7165400,46.10
2009-04-08,52.26,52.53,51.85,52.28,4920600,46.26
2009-04-07,52.56,52.64,52.03,52.25,5547000,46.24
2009-04-06,52.54,53.04,52.25,52.67,4506700,46.61
2009-04-03,53.00,53.37,52.25,52.69,5591400,46.63
2009-04-02,52.93,53.53,52.51,52.86,7436500,46.78
2009-04-01,51.01,52.43,51.00,52.22,7010900,46.21
2009-03-31,52.26,52.50,51.48,51.48,9179900,45.56
2009-03-30,52.06,52.62,51.28,51.79,7584800,45.83
2009-03-27,52.64,53.10,52.12,52.39,5875700,46.36
2009-03-26,52.97,53.20,52.00,53.16,7122900,47.04
2009-03-25,52.21,52.79,51.67,52.47,8705500,46.43
2009-03-24,51.17,51.96,51.12,51.53,5903300,45.60
2009-03-23,50.33,51.63,50.23,51.63,7535800,45.69
2009-03-20,49.24,50.41,49.24,50.02,13268800,44.26
2009-03-19,49.87,49.89,48.70,48.99,10284100,43.35
2009-03-18,48.21,49.91,48.21,49.47,9202800,43.78
2009-03-17,48.72,49.27,48.02,49.25,6697400,43.58
2009-03-16,48.91,49.78,48.66,48.73,7482300,43.12
2009-03-13,48.58,48.81,47.93,48.62,7977300,43.02
2009-03-12,47.28,48.41,47.07,48.29,8257800,42.73
2009-03-11,46.69,47.64,46.56,47.42,8048400,41.96
2009-03-10,46.10,46.67,45.85,46.60,9347300,41.24
2009-03-09,46.60,47.18,45.63,45.81,7985900,40.54
2009-03-06,46.07,47.25,45.98,47.10,10849400,41.68
