HBC,HSBC Holdings PLC,NYFIN
WFC,Wells Fargo & Co.,NYFIN
JPM,JPMorgan Chase & Co.,NYFIN
C,Citigroup Inc.,NYFIN
BAC,Bank of America Corp.,NYFIN
RY,Royal Bank of Canada,NYFIN
BRK/B,Berkshire Hathaway Inc. Cl B,NYFIN
MTU,Mitsubishi UFJ Financial Group Inc.,NYFIN
BRK/A,Berkshire Hathaway Inc. Cl A,NYFIN
TD,Toronto-Dominion Bank,NYFIN
STD,Banco Santander S.A.,NYFIN
WBK,Westpac Banking Corp.,NYFIN
V,VISA Inc. Cl A,NYFIN
BNS,Bank of Nova Scotia,NYFIN
USB,U.S. Bancorp,NYFIN
AXP,American Express Co.,NYFIN
UBS,UBS AG,NYFIN
GS,Goldman Sachs Group Inc.,NYFIN
SMFG,Sumitomo Mitsui Financial Group Inc.,NYFIN
BCS,Barclays PLC,NYFIN
MA,MasterCard Inc. Cl A,NYFIN
DB,Deutsche Bank AG,NYFIN
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,NYFIN
SPG,Simon Property Group Inc.,NYFIN
MFG,Mizuho Financial Group Inc.,NYFIN
BMO,Bank of Montreal,NYFIN
ING,ING Groep N.V.,NYFIN
PNC,PNC Financial Services Group Inc.,NYFIN
MET,MetLife Inc.,NYFIN
CM,Canadian Imperial Bank of Commerce,NYFIN
CS,Credit Suisse Group,NYFIN
PRU,Prudential Financial Inc.,NYFIN
PUK,Prudential PLC,NYFIN
BK,Bank of New York Mellon Corp.,NYFIN
AMT,American Tower REIT,NYFIN
ACE,ACE Ltd.,NYFIN
MS,Morgan Stanley,NYFIN
TRV,Travelers Cos. Inc.,NYFIN
LFC,China Life Insurance Co. Ltd.,NYFIN
COF,Capital One Financial Corp.,NYFIN
LYG,Lloyds Banking Group PLC,NYFIN
MFC,Manulife Financial Corp.,NYFIN
AFL,AFLAC Inc.,NYFIN
BBT,BB&T Corp.,NYFIN
STT,State Street Corp.,NYFIN
BLK,BlackRock Inc.,NYFIN
HDB,HDFC Bank Ltd.,NYFIN
PSA,Public Storage,NYFIN
CB,Chubb Corp.,NYFIN
BEN,Franklin Resources Inc.,NYFIN
BAM,Brookfield Asset Management Inc. Cl A,NYFIN
SHG,Shinhan Financial Group Co. Ltd.,NYFIN
NMR,Nomura Holdings Inc.,NYFIN
MMC,Marsh & McLennan Cos.,NYFIN
EQR,Equity Residential,NYFIN
DFS,Discover Financial Services,NYFIN
AV,Aviva PLC,NYFIN
VTR,Ventas Inc.,NYFIN
NLY,Annaly Capital Management Inc.,NYFIN
IBN,ICICI Bank Ltd.,NYFIN
HCP,HCP Inc.,NYFIN
VNO,Vornado Realty Trust,NYFIN
PLD,ProLogis Inc.,NYFIN
AON,AON Corp.,NYFIN
BXP,Boston Properties Inc.,NYFIN
ALL,Allstate Corp.,NYFIN
KB,KB Financial Group Inc.,NYFIN
SCHW,Charles Schwab Corp.,NYFIN
L,Loews Corp.,NYFIN
PGR,Progressive Corp.,NYFIN
AMP,Ameriprise Financial Inc.,NYFIN
AVB,Avalonbay Communities Inc.,NYFIN
SLF,Sun Life Financial Inc.,NYFIN
AIG,American International Group Inc.,NYFIN
STI,SunTrust Banks Inc.,NYFIN
HST,Host Hotels & Resorts Inc.,NYFIN
WY,Weyerhaeuser Co.,NYFIN
IVZ,INVESCO Ltd.,NYFIN
WU,Western Union Co.,NYFIN
IX,Orix Corp.,NYFIN
HCN,Health Care REIT Inc.,NYFIN
MTB,M&T Bank Corp.,NYFIN
ICE,IntercontinentalExchange Inc.,NYFIN
HIG,Hartford Financial Services Group Inc.,NYFIN
AEG,Aegon N.V.,NYFIN
PFG,Principal Financial Group Inc.,NYFIN
NYX,NYSE Euronext,NYFIN
CIT,CIT Group Inc.,NYFIN
RBS,Royal Bank of Scotland Group PLC,NYFIN
LNC,Lincoln National Corp.,NYFIN
KEY,KeyCorp,NYFIN
KIM,Kimco Realty Corp.,NYFIN
DLR,Digital Realty Trust Inc.,NYFIN
MCO,Moody's Corp.,NYFIN
RF,Regions Financial Corp.,NYFIN
MAC,Macerich Co.,NYFIN
UNM,Unum Group,NYFIN
BAP,Credicorp Ltd.,NYFIN
SLG,SL Green Realty Corp.,NYFIN
GGP,General Growth Properties Inc.,NYFIN
XL,XL Group PLC,NYFIN
PCL,Plum Creek Timber Co. Inc. REIT,NYFIN
WSH,Willis Group Holdings PLC,NYFIN
FRT,Federal Realty Investment Trust,NYFIN
CMA,Comerica Inc.,NYFIN
NYB,New York Community Bancorp Inc.,NYFIN
UDR,UDR Inc.,NYFIN
AMG,Affiliated Managers Group Inc.,NYFIN
CBG,CBRE Group Inc. Cl A,NYFIN
RYN,Rayonier Inc. REIT,NYFIN
EFX,Equifax Inc.,NYFIN
TMK,Torchmark Corp.,NYFIN
O,Realty Income Corp.,NYFIN
