ticker,name,compositeTicker
XOM,Exxon Mobil Corp.,NYE.ID
CVX,Chevron Corp.,NYE.ID
BP,BP PLC,NYE.ID
RDS/A,Royal Dutch Shell PLC Cl A,NYE.ID
TOT,Total S.A.,NYE.ID
SLB,Schlumberger Ltd.,NYE.ID
RDS/B,Royal Dutch Shell PLC B,NYE.ID
COP,ConocoPhillips,NYE.ID
OXY,Occidental Petroleum Corp.,NYE.ID
E,ENI S.p.A.,NYE.ID
SU,Suncor Energy Inc.,NYE.ID
PBR,Petroleo Brasileiro S/A,NYE.ID
APC,Anadarko Petroleum Corp.,NYE.ID
APA,Apache Corp.,NYE.ID
CNQ,Canadian Natural Resources Ltd.,NYE.ID
NOV,National Oilwell Varco Inc.,NYE.ID
HAL,Halliburton Co.,NYE.ID
CEO,CNOOC Ltd.,NYE.ID
PTR,PetroChina Co. Ltd.,NYE.ID
EOG,EOG Resources Inc.,NYE.ID
STO,Statoil ASA,NYE.ID
DVN,Devon Energy Corp.,NYE.ID
CVE,Cenovus Energy Inc.,NYE.ID
TRP,TransCanada Corp.,NYE.ID
ENB,Enbridge Inc.,NYE.ID
SSL,Sasol Ltd.,NYE.ID
MRO,Marathon Oil Corp.,NYE.ID
BHI,Baker Hughes Inc.,NYE.ID
EP,El Paso Corp.,NYE.ID
HES,Hess Corp.,NYE.ID
SNP,China Petroleum & Chemical Corp.,NYE.ID
NBL,Noble Energy Inc.,NYE.ID
WMB,Williams Cos.,NYE.ID
CHK,Chesapeake Energy Corp.,NYE.ID
RIG,Transocean Ltd.,NYE.ID
MPC,Marathon Petroleum Corp.,NYE.ID
TLM,Talisman Energy Inc.,NYE.ID
ECA,EnCana Corp.,NYE.ID
PXD,Pioneer Natural Resources Co.,NYE.ID
VLO,Valero Energy Corp.,NYE.ID
CAM,Cameron International Corp.,NYE.ID
ESV,ENSCO PLC,NYE.ID
SDRL,SeaDrill Ltd.,NYE.ID
FTI,FMC Technologies Inc.,NYE.ID
MUR,Murphy Oil Corp.,NYE.ID
WFT,Weatherford International Ltd.,NYE.ID
SWN,Southwestern Energy Co.,NYE.ID
CXO,Concho Resources Inc.,NYE.ID
EC,Ecopetrol S.A.,NYE.ID
NXY,Nexen Inc.,NYE.ID
RRC,Range Resources Corp.,NYE.ID
NE,Noble Corp.,NYE.ID
PWE,Penn West Petroleum Ltd.,NYE.ID
DNR,Denbury Resources Inc.,NYE.ID
